Et,k1st defect_crop_-40C,k1st defect_crop_-5C,k1st defect_crop_30C,ksingle defect_crop_65C,ksingle defect_crop_100C,TauMinor1st defect_crop_-40C,TauMinor1st defect_crop_-5C,TauMinor1st defect_crop_30C,TauMinorsingle defect_crop_65C,TauMinorsingle defect_crop_100C,StdDev
-3.389999999999999680e-01,5.480133553040733574e-01,1.121861499173938542e-01,2.774420809866287740e+01,5.510057970294037766e+00,5.563080554464364447e+00,9.670316402448438271e-05,2.798559811442464379e-05,1.825388676355412865e-04,1.678154538648688702e-04,1.995810657045678433e-04,1.291211934185670485e+00
-3.359999999999999654e-01,5.658856557120525155e-01,2.771188497372586990e-01,2.281928444624019292e+01,4.814215979684040470e+00,4.969599303193118267e+00,9.856721680810745761e-05,5.875287006641076015e-05,1.814075994424436196e-04,1.646963035424762664e-04,1.965098386333557243e-04,1.242263831985361167e+00
-3.329999999999999627e-01,5.812774981096963112e-01,4.219597917306724955e-01,1.842891862819931958e+01,4.186477323009785145e+00,4.429003593434918784e+00,1.001343957477665347e-04,7.904210316675682802e-05,1.799112185412760241e-04,1.611401237303887468e-04,1.931098926332649221e-04,1.182361741390391519e+00
-3.299999999999999600e-01,5.945331399121439597e-01,5.491565119714215681e-01,1.451508901849521394e+01,3.620176601863041022e+00,3.936580756495757338e+00,1.014566944491005997e-04,9.332394179124784003e-05,1.778551543922458249e-04,1.570713741835655082e-04,1.893428168824482448e-04,1.107247631620988937e+00
-3.269999999999999574e-01,6.059490597906956877e-01,6.608583927886484410e-01,1.102607173637832361e+01,3.109300772622586972e+00,3.488038072981137105e+00,1.025757419049115691e-04,1.038449739409550966e-04,1.748773765782414764e-04,1.523973711536835501e-04,1.851650024743557016e-04,1.010289170469722775e+00
-3.239999999999999547e-01,6.157805887815777091e-01,7.589529832347615690e-01,7.915757080653422761e+00,2.648425299292743507e+00,3.079465350811516622e+00,1.035251962434737103e-04,1.118580319277846335e-04,1.702187105064100565e-04,1.470031486861675060e-04,1.805267820434829226e-04,8.808542360945261773e-01
-3.209999999999999520e-01,6.242476210774294820e-01,8.450978950696387271e-01,5.143040159082119089e+00,2.232656555180844382e+00,2.707300837937754778e+00,1.043325026776458495e-04,1.181171284138227823e-04,1.619721942002145306e-04,1.407443442162215996e-04,1.753713921124336534e-04,7.026415389485385354e-01
-3.179999999999999494e-01,6.315395322303622994e-01,9.207488132424883620e-01,2.671277659690037165e+00,1.857579861828387413e+00,2.368300172598950759e+00,1.050202055222885806e-04,1.231033625242308532e-04,1.435950761077010027e-04,1.334371607083658891e-04,1.696337135517130576e-04,4.706713336441558648e-01
-3.149999999999999467e-01,6.378194147682284543e-01,9.871840941951752768e-01,4.678035848459307089e-01,1.519212613467434636e+00,2.059508100445221590e+00,1.056069418462530796e-04,1.271382310981520637e-04,6.799093942893558022e-05,1.248438998788878470e-04,1.632387321982299285e-04,5.165466299845643539e-01
-3.119999999999999440e-01,6.432277259588462526e-01,1.045526367651491872e+00,nan,1.213961989272559716e+00,1.778232711967983271e+00,1.061082041121043964e-04,1.304447954861948599e-04,nan,1.146516048490831290e-04,1.560996436708515203e-04,nan
-3.089999999999999969e-01,6.478854293088993632e-01,1.096761506921467122e+00,nan,9.385868043924341375e-01,1.522021975651366210e+00,1.065369326659302158e-04,1.331827055281025742e-04,nan,1.024396522572352695e-04,1.481155018699801314e-04,nan
-3.059999999999999942e-01,6.518967000609838802e-01,1.141755288282742420e+00,nan,6.901630946909319553e-01,1.288642362271371411e+00,1.069039811623706456e-04,1.354692501232559966e-04,nan,8.762899302079845180e-05,1.391682768010651212e-04,nan
-3.029999999999999916e-01,6.553512552005561487e-01,1.181268020950805520e+00,nan,4.660530697729685090e-01,1.076059373999138646e+00,1.072184858768875272e-04,1.373925335990320814e-04,nan,6.939965433130352690e-05,1.291191401383751287e-04,nan
-2.999999999999999889e-01,6.583263600862444553e-01,1.215967394856748873e+00,nan,2.638771046346086169e-01,8.824198085697813054e-01,1.074881614468663042e-04,1.390200132744479815e-04,nan,4.655065614949913425e-05,1.178037302031974514e-04,nan
-2.969999999999999862e-01,6.608885565842693710e-01,1.246439763335504214e+00,nan,8.148847254191222966e-02,7.060356039039228371e-01,1.077195396690992882e-04,1.404041986642239938e-04,nan,1.724927382662995353e-05,1.050260523762731798e-04,nan
-2.939999999999999836e-01,6.630951513588170254e-01,1.273200051380509512e+00,nan,nan,5.453691223465740867e-01,1.079181637668696729e-04,1.415865561589862108e-04,nan,nan,9.055053177953368919e-05,nan
-2.909999999999999809e-01,6.649954976058025657e-01,1.296700456895436115e+00,nan,nan,3.990197462380977167e-01,1.080887474991553462e-04,1.426002462302617085e-04,nan,nan,7.409152916563635060e-05,nan
-2.879999999999999782e-01,6.666320988975699136e-01,1.317338091977558134e+00,nan,nan,2.657116679634394241e-01,1.082353062647525821e-04,1.434720817205708599e-04,nan,nan,5.529932082024427903e-05,nan
-2.849999999999999756e-01,6.680415598273681255e-01,1.335461693355910695e+00,nan,nan,1.442827680388455991e-01,1.083612657156883590e-04,1.442239546867370994e-04,nan,nan,3.374106678355068224e-05,nan
-2.819999999999999729e-01,6.692554047159311459e-01,1.351377515377849781e+00,nan,nan,3.367448428023985668e-02,1.084695521721229066e-04,1.448738932938266929e-04,nan,nan,8.874543391043211249e-06,nan
-2.789999999999999702e-01,6.703007826915388101e-01,1.365354505124264595e+00,nan,nan,nan,1.085626682100708886e-04,1.454368564779500122e-04,nan,nan,nan,nan
-2.759999999999999676e-01,6.712010749135368659e-01,1.377628847103048226e+00,nan,nan,nan,1.086427560926881412e-04,1.459253396520492530e-04,nan,nan,nan,nan
-2.729999999999999649e-01,6.719764175206157653e-01,1.388407954317468773e+00,nan,nan,nan,1.087116511779243365e-04,1.463498421943482683e-04,nan,nan,nan,nan
-2.699999999999999623e-01,6.726441520002242047e-01,1.397873973150912663e+00,nan,nan,nan,1.087709270185836449e-04,1.467192324296501954e-04,nan,nan,nan,nan
-2.669999999999999596e-01,6.732192130521864604e-01,1.406186861293873047e+00,nan,nan,nan,1.088219335451887782e-04,1.470410356123324634e-04,nan,nan,nan,nan
-2.639999999999999569e-01,6.737144626215634258e-01,1.413487090724280471e+00,nan,nan,nan,1.088658294655011759e-04,1.473216633837969047e-04,nan,nan,nan,nan
-2.609999999999999543e-01,6.741409775718121278e-01,1.419898021416407863e+00,nan,nan,nan,1.089036098108593853e-04,1.475665982522566698e-04,nan,nan,nan,nan
