Et,k2nd defect_Sinton_300,k2nd defect_Sinton_350,k2nd defect_Sinton_400,TauMinor2nd defect_Sinton_300,TauMinor2nd defect_Sinton_350,TauMinor2nd defect_Sinton_400,StdDev
4.980000000000001092e-01,8.142485369130838396e-03,1.637223015072981555e-02,2.486877710720326873e-02,1.091143294548002312e-06,1.100800233960011057e-06,1.124695435897989460e-06,6.828769570809501387e-03
5.040000000000001146e-01,6.436842776565807230e-03,1.336664507498110457e-02,2.079435863200354909e-02,1.093381369793965119e-06,1.104709008244652389e-06,1.130001973765052484e-06,5.862606076931269755e-03
5.100000000000001199e-01,5.091648383957278999e-03,1.092060250544397634e-02,1.740131156523704731e-02,1.095152965810507687e-06,1.107910643098089779e-06,1.134459455432386487e-06,5.027746388289637894e-03
5.160000000000001252e-01,4.029550879025112047e-03,8.927357261747587494e-03,1.457156658705681222e-02,1.096555789521771704e-06,1.110533364983237227e-06,1.138203903815915324e-06,4.307354195106727866e-03
5.220000000000001306e-01,3.190236809287182347e-03,7.301377405071602517e-03,1.220873539911306385e-02,1.097666904492705408e-06,1.112682051273857144e-06,1.141349499632986314e-06,3.686566549193326728e-03
5.280000000000001359e-01,2.526515907507211316e-03,5.973851773098974235e-03,1.023377263510198698e-02,1.098547158403507558e-06,1.114442513971496421e-06,1.143992103655860173e-06,3.152298219567197749e-03
5.340000000000001412e-01,2.001364663728786176e-03,4.889237166182994719e-03,8.581607107895955835e-03,1.099244636626320008e-06,1.115884987039049749e-06,1.146212206599333991e-06,2.693056792752545562e-03
5.400000000000001465e-01,1.585672791154591485e-03,4.002577449849531108e-03,7.198498165992683363e-03,1.099797364997387233e-06,1.117066968815239879e-06,1.148077400930799674e-06,2.298771315326724601e-03
5.460000000000001519e-01,1.256512332207148069e-03,3.277403748315530548e-03,6.039941696742108512e-03,1.100235430600612061e-06,1.118035541069007347e-06,1.149644452986464383e-06,1.960635229196361178e-03
5.520000000000001572e-01,9.957998904390082378e-04,2.684077479443825343e-03,5.068997850111433071e-03,1.100582649406276124e-06,1.118829262599448648e-06,1.150961040662702476e-06,1.670963395125393694e-03
5.579999999999999405e-01,7.892574554753725019e-04,2.198474548261298515e-03,4.254945919967370940e-03,1.100857879807679487e-06,1.119479716471951662e-06,1.152067211107064237e-06,1.423062575736631225e-03
5.639999999999999458e-01,6.256018632700050030e-04,1.800934867512305393e-03,3.572195572768055438e-03,1.101076058642721299e-06,1.120012774941789927e-06,1.152996603844693099e-06,1.211114575995452837e-03
5.699999999999999512e-01,4.959104992306632249e-04,1.475419934776333328e-03,2.999400755203799826e-03,1.101249019211895436e-06,1.120449634045016148e-06,1.153777477309959007e-06,1.030071180771623173e-03
5.759999999999999565e-01,3.931236049441509217e-04,1.208834718605462238e-03,2.518735143587736564e-03,1.101386137719651852e-06,1.120807660113244888e-06,1.154433570540996477e-06,8.755600212647440339e-04
5.819999999999999618e-01,3.116529390941273213e-04,9.904800946072310833e-04,2.115297272230231337e-03,1.101494844475226876e-06,1.121101082613832767e-06,1.154984826618256515e-06,7.438005161624516208e-04
5.879999999999999671e-01,2.470735423408445945e-04,8.116095450810156169e-04,1.776620423210616964e-03,1.101581028365519881e-06,1.121341561355403013e-06,1.155448000108935886e-06,6.315290574890231219e-04
5.939999999999999725e-01,1.958806290698321970e-04,6.650694926054721585e-04,1.492267619351581769e-03,1.101649357020452211e-06,1.121538650935908511e-06,1.155837167171350370e-06,5.359326407850888672e-04
5.999999999999999778e-01,1.552976380797626795e-04,5.450069663810740194e-04,1.253496087393169518e-03,1.101703530330413860e-06,1.121700181113423549e-06,1.156164153956995534e-06,4.545901730902391323e-04
